Time,Timestamp(ns since boot),CPU0 Temp,CPU1 Temp,CPU2 Temp,CPU3 Temp,GPU Temp,PopMem Temp,CPU0 Freq,CPU1 Freq,CPU2 Freq,CPU3 Freq,CPU %user,CPU %system,CPU %irqs,CPU %steal,CPU %idle,MemTotal kB,MemFree kB,MemSnapcam kB
01-01 00:02:27,143824347861,76,83,73,73,69,68,2649600,2649600,2649600,2649600,18.37,12.70,0.00,0.00,68.93,1971144,1475444,38644
01-01 00:02:28,144959693121,75,83,73,74,69,68,2649600,2649600,2649600,2649600,16.14,14.77,0.00,0.00,69.09,1971144,1475620,38976
01-01 00:02:29,146092117131,75,74,74,85,69,68,2649600,2649600,2649600,2649600,17.04,15.93,0.00,0.00,67.04,1971144,1475560,38796
01-01 00:02:30,147230630516,74,74,74,85,69,67,2649600,2649600,2649600,2649600,19.92,16.35,0.42,0.00,63.31,1971144,1475788,38532
01-01 00:02:31,148363244630,75,74,84,75,70,68,2649600,2649600,2649600,2649600,16.25,14.65,0.23,0.00,68.88,1971144,1475892,38664
01-01 00:02:32,149497171453,77,83,72,73,69,68,2649600,2649600,2649600,2649600,15.79,14.87,0.00,0.00,69.34,1971144,1476084,38668
01-01 00:02:33,150630456661,83,75,75,75,69,68,2649600,2649600,2649600,2649600,15.78,15.11,0.00,0.00,69.11,1971144,1475572,38644
01-01 00:02:35,151758655931,77,83,72,73,69,68,2649600,2649600,2649600,2649600,18.39,12.18,0.00,0.00,69.43,1971144,1475784,38824
01-01 00:02:36,152889714628,74,75,84,76,69,68,2649600,2649600,2649600,2649600,17.11,15.35,0.66,0.00,66.89,1971144,1475980,38928
01-01 00:02:37,154023425149,75,75,84,76,70,68,2649600,2649600,2649600,2649600,17.53,15.28,0.00,0.00,67.19,1971144,1476044,38768
01-01 00:02:38,155156935513,84,77,73,74,70,68,2649600,2649600,2649600,2649600,20.78,13.85,0.22,0.00,65.15,1971144,1476076,38740
01-01 00:02:39,156288938586,78,83,73,74,69,68,2649600,2649600,2649600,2649600,17.33,14.00,0.00,0.00,68.67,1971144,1475772,38908
01-01 00:02:40,157418246033,76,74,84,75,70,68,2649600,2649600,2649600,2649600,17.20,13.30,0.00,0.00,69.50,1971144,1475952,38716
01-01 00:02:41,158550622803,75,74,84,75,70,68,2649600,2649600,2649600,2649600,19.72,11.47,0.00,0.00,68.81,1971144,1475712,38880
01-01 00:02:42,159687381084,84,77,75,75,70,68,2649600,2649600,2649600,2649600,16.63,15.51,0.00,0.00,67.87,1971144,1475508,38724
01-01 00:02:44,160819350771,78,75,84,75,70,68,2649600,2649600,2649600,2649600,14.02,16.09,0.23,0.00,69.66,1971144,1475364,38624
01-01 00:02:45,161952360979,77,74,84,75,70,68,2649600,2649600,2649600,2649600,17.58,15.38,0.44,0.00,66.59,1971144,1475664,38780
01-01 00:02:46,163089542385,76,75,84,77,70,68,2649600,2649600,2649600,2649600,13.44,20.26,0.22,0.00,66.08,1971144,1476132,38712
01-01 00:02:47,164223590978,84,76,73,74,70,68,2649600,2649600,2649600,2649600,21.13,11.98,0.00,0.00,66.88,1971144,1475860,38684
01-01 00:02:48,165354416499,75,74,84,76,70,68,2649600,2649600,2649600,2649600,16.28,14.42,0.00,0.00,69.30,1971144,1475924,38640
01-01 00:02:49,166491415405,75,74,85,77,70,68,2649600,2649600,2649600,2649600,17.91,13.83,0.00,0.00,68.25,1971144,1475900,38604
01-01 00:02:50,167624379362,79,83,74,74,70,68,2649600,2649600,2649600,2649600,17.95,11.59,0.00,0.00,70.45,1971144,1475784,39104
01-01 00:02:52,168757321341,77,78,82,77,70,68,2649600,2649600,2649600,2649600,17.49,13.90,0.00,0.00,68.61,1971144,1475848,38756
01-01 00:02:53,169890035039,74,75,74,86,69,68,2649600,2649600,2649600,2649600,16.41,16.63,0.66,0.00,66.30,1971144,1475660,38720
01-01 00:02:54,171032341809,74,75,75,86,69,68,2649600,2649600,2649600,2649600,15.40,19.41,1.27,0.00,63.92,1971144,1475680,38792
01-01 00:02:55,172162607382,76,76,84,76,70,68,2649600,2649600,2649600,2649600,18.26,15.87,0.22,0.00,65.65,1971144,1475436,38980
01-01 00:02:56,173293705506,76,84,73,75,70,68,2649600,2649600,2649600,2649600,16.33,16.55,0.00,0.00,67.11,1971144,1475604,38868
01-01 00:02:57,174428044152,84,77,73,74,70,68,2649600,2649600,2649600,2649600,18.24,13.06,0.23,0.00,68.47,1971144,1475772,38876
01-01 00:02:58,175558981130,76,84,73,75,69,68,2649600,2649600,2649600,2649600,17.01,13.83,0.00,0.00,69.16,1971144,1475524,38504
01-01 00:02:59,176695279567,75,73,74,85,69,68,2649600,2649600,2649600,2649600,15.47,15.25,0.00,0.00,69.28,1971144,1475884,38680
01-01 00:03:01,177835589567,74,74,75,86,69,68,2649600,2649600,2649600,2649600,16.96,18.72,0.22,0.00,64.10,1971144,1475860,38792
01-01 00:03:02,178969590139,78,75,83,79,70,68,2649600,2649600,2649600,2649600,15.62,17.79,0.00,0.00,66.59,1971144,1475728,38752
01-01 00:03:03,180102847066,80,83,73,74,70,68,2649600,2649600,2649600,2649600,21.34,12.72,0.22,0.00,65.73,1971144,1475644,38808
01-01 00:03:04,181237143941,75,74,74,85,69,68,2649600,2649600,2649600,2649600,19.36,12.07,0.00,0.00,68.56,1971144,1475232,38760
01-01 00:03:05,182368473419,77,84,74,75,70,68,2649600,2649600,2649600,2649600,15.30,15.53,0.23,0.00,68.95,1971144,1475692,38832
01-01 00:03:06,183504464981,75,74,84,75,70,68,2649600,2649600,2649600,2649600,18.64,12.05,0.00,0.00,69.32,1971144,1475484,38832
01-01 00:03:07,184637038731,77,84,73,74,70,68,2649600,2649600,2649600,2649600,15.74,14.35,0.00,0.00,69.91,1971144,1475824,38920
01-01 00:03:09,185768234928,76,74,84,76,70,68,2649600,2649600,2649600,2649600,17.04,15.47,0.00,0.00,67.49,1971144,1475476,38820
01-01 00:03:10,186901914980,76,84,73,74,70,68,2649600,2649600,2649600,2649600,17.38,20.04,0.41,0.00,62.17,1971144,1476256,38928
01-01 00:03:11,188037200761,78,84,74,76,70,68,2649600,2649600,2649600,2649600,20.25,17.56,0.00,0.00,62.19,1971144,1475984,38900
01-01 00:03:12,189170322635,75,74,74,86,69,68,2649600,2649600,2649600,2649600,18.12,13.07,0.00,0.00,68.81,1971144,1475396,39048
01-01 00:03:13,190308972948,75,74,75,86,69,68,2649600,2649600,2649600,2649600,16.11,15.44,0.22,0.00,68.23,1971144,1475652,38940
01-01 00:03:14,191440192583,76,84,75,76,70,68,2649600,2649600,2649600,2649600,17.08,13.90,0.00,0.00,69.02,1971144,1475684,38872
01-01 00:03:15,192570820030,84,77,74,74,70,69,2649600,2649600,2649600,2649600,17.34,13.06,0.00,0.00,69.59,1971144,1475664,38856
01-01 00:03:16,193705909977,76,84,73,75,70,68,2649600,2649600,2649600,2649600,16.25,14.42,0.00,0.00,69.34,1971144,1475644,38776
01-01 00:03:18,194839600185,76,84,73,74,70,68,2649600,2649600,2649600,2649600,15.05,19.35,0.22,0.00,65.38,1971144,1475860,38896
01-01 00:03:19,195974907060,77,84,73,76,70,68,2649600,2649600,2649600,2649600,21.13,15.69,0.00,0.00,63.18,1971144,1476068,38796
01-01 00:03:20,197108293674,84,74,73,74,70,69,2649600,2649600,2649600,2649600,17.57,12.39,0.00,0.00,70.05,1971144,1475900,38852
01-01 00:03:21,198241666070,84,75,73,73,70,69,2649600,2649600,2649600,2649600,15.04,15.49,0.00,0.00,69.47,1971144,1475928,38624
01-01 00:03:22,199374477007,84,75,74,73,70,69,2649600,2649600,2649600,2649600,16.44,14.44,0.00,0.00,69.11,1971144,1475420,38976
01-01 00:03:23,200502797319,84,75,75,78,70,69,2649600,2649600,2649600,2649600,17.50,12.95,0.00,0.00,69.55,1971144,1476076,38908
01-01 00:03:24,201641455808,78,84,73,74,70,69,2649600,2649600,2649600,2649600,15.28,16.40,0.00,0.00,68.31,1971144,1475668,38896
01-01 00:03:26,202774619714,76,84,74,74,70,69,2649600,2649600,2649600,2649600,17.04,15.93,0.00,0.00,67.04,1971144,1475816,38752
01-01 00:03:27,203906197838,77,84,74,77,70,69,2649600,2649600,2649600,2649600,17.83,20.29,0.00,0.00,61.89,1971144,1475120,38536
01-01 00:03:28,205037007421,75,74,85,76,70,69,2649600,2649600,2649600,2649600,16.34,17.22,0.22,0.00,66.23,1971144,1475408,38632
01-01 00:03:29,206171416119,84,75,73,75,70,69,2649600,2649600,2649600,2649600,16.06,14.48,0.00,0.00,69.46,1971144,1476136,38668
01-01 00:03:30,207303193045,77,74,84,75,70,69,2649600,2649600,2649600,2649600,15.53,15.07,0.23,0.00,69.18,1971144,1474876,38888
01-01 00:03:31,208438627003,77,84,73,74,70,69,2649600,2649600,2649600,2649600,17.43,13.30,0.00,0.00,69.27,1971144,1475808,38788
01-01 00:03:32,209571594659,76,74,77,86,70,68,2649600,2649600,2649600,2649600,15.90,14.29,0.69,0.00,69.12,1971144,1475448,38736
01-01 00:03:33,210708740179,75,74,74,86,70,68,2649600,2649600,2649600,2649600,16.56,15.23,0.00,0.00,68.21,1971144,1476348,38684
01-01 00:03:35,211838302575,84,76,73,74,70,69,2649600,2649600,2649600,2649600,17.44,17.44,0.21,0.00,64.92,1971144,1476280,38792
01-01 00:03:36,212970836533,78,84,73,76,70,69,2649600,2649600,2649600,2649600,22.11,13.68,0.21,0.00,64.00,1971144,1476000,38816
01-01 00:03:37,214110603459,75,75,74,86,70,68,2649600,2649600,2649600,2649600,17.77,13.21,0.00,0.00,69.02,1971144,1475804,38640
01-01 00:03:38,215241517990,76,75,84,77,70,69,2649600,2649600,2649600,2649600,17.28,13.13,0.23,0.00,69.35,1971144,1475724,38780
01-01 00:03:39,216379438823,78,75,85,78,71,69,2649600,2649600,2649600,2649600,18.72,12.56,0.00,0.00,68.72,1971144,1475776,38824
01-01 00:03:40,217511641375,76,74,84,75,70,69,2649600,2649600,2649600,2649600,16.97,12.90,0.23,0.00,69.91,1971144,1475692,38928
01-01 00:03:41,218651558249,84,76,74,74,70,69,2649600,2649600,2649600,2649600,17.83,12.42,0.00,0.00,69.75,1971144,1475928,38680
01-01 00:03:43,219786785436,77,84,75,76,70,69,2649600,2649600,2649600,2649600,15.78,19.40,0.21,0.00,64.61,1971144,1475948,38864
01-01 00:03:44,220915984707,77,75,82,74,70,69,2649600,2649600,2649600,2649600,15.43,16.96,0.00,0.00,67.61,1971144,1475820,39148
01-01 00:03:45,222051852154,75,74,75,86,70,68,2649600,2649600,2649600,2649600,18.92,12.84,0.00,0.00,68.24,1971144,1475424,38980
01-01 00:03:46,223187806372,82,74,75,79,70,68,2649600,2649600,2649600,2649600,16.71,12.99,0.00,0.00,70.30,1971144,1475676,38984
01-01 00:03:47,224318663351,75,74,76,87,70,68,2649600,2649600,2649600,2649600,15.37,15.14,0.00,0.00,69.50,1971144,1475556,38964
01-01 00:03:48,225450456320,75,75,78,86,70,68,2649600,2649600,2649600,2649600,16.48,13.73,0.46,0.00,69.34,1971144,1475964,38920
01-01 00:03:49,226584715017,76,77,85,76,71,69,2649600,2649600,2649600,2649600,16.93,14.42,0.00,0.00,68.65,1971144,1475724,38788
01-01 00:03:50,227715868558,77,84,73,80,70,69,2649600,2649600,2649600,2649600,15.62,15.85,0.22,0.00,68.30,1971144,1475528,38928
01-01 00:03:52,228850828349,77,85,74,77,70,69,2649600,2649600,2649600,2649600,18.92,15.48,0.22,0.00,65.38,1971144,1475860,38880
01-01 00:03:53,229983441891,77,85,73,75,70,69,2649600,2649600,2649600,2649600,18.93,13.59,0.00,0.00,67.48,1971144,1475420,38844
01-01 00:03:54,231115452463,77,84,74,74,70,69,2649600,2649600,2649600,2649600,17.73,12.73,0.00,0.00,69.55,1971144,1475940,38832
01-01 00:03:55,232247115900,77,85,73,74,70,69,2649600,2649600,2649600,2649600,16.55,13.10,0.23,0.00,70.11,1971144,1475900,38924
01-01 00:03:56,233379433452,84,75,75,75,70,69,2649600,2649600,2649600,2649600,14.67,17.33,0.00,0.00,68.00,1971144,1475824,39088
01-01 00:03:57,234516460587,84,79,73,74,70,69,2649600,2649600,2649600,2649600,17.87,13.35,0.00,0.00,68.78,1971144,1475036,38848
01-01 00:03:58,235646302201,76,74,85,77,71,69,2649600,2649600,2649600,2649600,16.89,15.33,0.44,0.00,67.33,1971144,1475848,38784
01-01 00:04:00,236781826524,82,85,75,76,70,69,2649600,2649600,2649600,2649600,16.91,18.82,0.42,0.00,63.85,1971144,1475484,38728
01-01 00:04:01,237918973502,76,75,76,86,70,69,2649600,2649600,2649600,2649600,18.32,18.11,0.00,0.00,63.58,1971144,1475688,38832
01-01 00:04:02,239049512616,77,84,75,76,71,69,2649600,2649600,2649600,2649600,17.07,13.97,0.22,0.00,68.74,1971144,1475876,38640
01-01 00:04:03,240181926991,77,74,85,76,71,69,2649600,2649600,2649600,2649600,17.65,13.12,0.23,0.00,69.00,1971144,1475700,38888
